date,spot,total_gex,gex_regime,max_pain,vix,daily_return
2025-08-06,24574.2,174060640.0932437,positive,24600.0,11.96,0.0
2025-08-07,24596.15,12333287.331855865,positive,24600.0,11.69,0.0
2025-08-08,24363.3,123599903.13330787,positive,24500.0,12.03,0.0
2025-08-11,24585.05,4246729.443575978,positive,24550.0,12.22,0.0
2025-08-12,24487.4,123066402.11334886,positive,24500.0,12.23,0.0006365657177837603
2025-08-13,24619.35,-14809727.089285046,negative,24600.0,12.14,0.0006365657177837603
2025-08-14,24631.3,24341008.994828112,positive,24700.0,12.36,0.0
2025-08-18,24876.95,74666224.00733745,positive,24900.0,12.34,0.0
2025-08-19,24980.65,-8130420.302515313,negative,25000.0,11.79,0.0
2025-08-20,25050.55,-109568194.87156066,negative,25000.0,11.79,0.0
2025-08-21,25083.75,30802426.780644618,positive,25050.0,11.37,0.00120556235292242
2025-08-22,24870.1,142314874.2219736,positive,24950.0,11.73,0.0
2025-08-25,24967.75,100266086.76896396,positive,25000.0,11.76,0.0
2025-08-26,24712.05,189551135.7604393,positive,24800.0,12.19,-0.009409137787746163
2025-08-28,24500.9,50140488.936653554,positive,24600.0,12.18,-0.009409137787746163
2025-08-29,24426.85,165273547.11388123,positive,24500.0,11.75,0.0
2025-09-01,24625.05,-62404081.216857076,negative,24600.0,11.29,0.0
2025-09-02,24579.6,20945773.28437429,positive,24650.0,11.4,0.0
2025-09-03,24715.05,-20981509.53122367,negative,24700.0,10.93,-0.0032079447997526555
2025-09-04,24734.3,172392215.64527074,positive,24750.0,10.85,-0.0032079447997526555
2025-09-05,24741.0,177655106.11066854,positive,24750.0,10.78,0.0
2025-09-08,24773.15,155719673.83938277,positive,24800.0,10.84,0.0
2025-09-09,24868.6,28816928.831281733,positive,24850.0,10.69,0.0
2025-09-10,24973.1,22581845.396692455,positive,25000.0,10.54,0.0
2025-09-11,25005.5,-14853327.566930294,negative,25000.0,10.36,0.0
2025-09-12,25114.0,-79406377.8190534,negative,25100.0,10.12,0.0
2025-09-15,25069.2,92098815.30066165,positive,25100.0,10.4,-0.0019033208568925409
2025-09-16,25239.1,14538895.110852651,positive,25150.0,10.27,0.0
2025-09-17,25330.25,33382359.98492384,positive,25250.0,10.25,0.0
2025-09-18,25423.6,121074101.1375212,positive,25350.0,9.89,0.0016436210986205749
2025-09-19,25327.05,204591698.1278996,positive,25300.0,9.97,0.0016436210986205749
2025-09-22,25202.35,408131290.1395731,positive,25200.0,10.56,0.0016436210986205749
2025-09-23,25169.5,56469437.21317507,positive,25200.0,10.63,0.0
2025-09-24,25056.9,74996540.5498971,positive,25100.0,10.52,0.0
2025-09-25,24890.85,213960618.0019283,positive,25000.0,10.78,0.0
2025-09-26,24654.7,132019276.29763037,positive,24800.0,11.43,0.0
2025-09-29,24634.9,169449275.38019767,positive,24750.0,11.37,0.0024146849620288566
2025-09-30,24611.1,30971071.90944079,positive,24700.0,11.07,0.0024146849620288566
2025-10-01,24836.3,-22863563.559499383,negative,24800.0,10.29,0.0024146849620288566
2025-10-03,24894.25,-41671524.389515676,negative,24900.0,10.06,0.0
2025-10-06,25077.65,29384501.157808363,positive,25000.0,10.19,0.0
2025-10-07,25108.3,38378993.89412871,positive,25100.0,10.05,0.0011025754008050122
2025-10-08,25046.15,127681973.31147775,positive,25100.0,10.31,0.0
2025-10-09,25181.8,41650780.42741663,positive,25150.0,10.12,0.0
2025-10-10,25285.35,-19530185.03671305,negative,25300.0,10.1,0.0
2025-10-13,25227.35,132846887.27286851,positive,25200.0,11.01,0.0
2025-10-14,25145.5,74783466.53979829,positive,25200.0,11.16,-0.003363413121076869
2025-10-15,25323.55,3147446.1719409823,neutral,25300.0,10.53,0.0
2025-10-16,25585.3,36975840.43753056,positive,25500.0,10.87,0.0
2025-10-17,25709.85,157733709.50075036,positive,25600.0,11.63,0.0
2025-10-23,25891.4,171652323.58990204,positive,25900.0,11.73,-0.0033605796999982593
2025-10-24,25795.15,211202394.28690308,positive,25800.0,11.59,-0.0033605796999982593
2025-10-27,25966.05,101887485.3444159,positive,25950.0,11.86,-0.0033605796999982593
2025-10-28,25936.2,53414079.37986606,positive,25950.0,11.95,0.0
2025-10-29,26053.9,23111977.971366286,positive,26000.0,11.97,0.0
2025-10-30,25877.85,183073406.63197303,positive,25950.0,12.07,0.0
2025-10-31,25722.1,287788002.8174838,positive,25850.0,12.15,0.0
2025-11-03,25763.35,159196041.9569131,positive,25800.0,12.67,0.0
2025-11-04,25597.65,32498085.36801997,positive,25700.0,12.65,-0.003545734541509538
2025-11-06,25509.7,115551930.3427867,positive,25600.0,12.41,-0.003545734541509538
2025-11-07,25492.3,12987902.57855162,positive,25500.0,12.56,-0.003545734541509538
2025-11-10,25574.35,129174023.67222816,positive,25600.0,12.3,0.0
2025-11-11,25694.95,28254688.1502435,positive,25700.0,12.49,0.0
2025-11-12,25875.8,5691630.838461556,positive,25850.0,12.11,0.0
2025-11-13,25879.15,36813011.0894233,positive,25900.0,12.16,0.0
2025-11-14,25910.05,153085448.22000957,positive,25900.0,11.94,0.0
2025-11-17,26013.45,87376853.20365319,positive,26000.0,11.79,0.0
2025-11-18,25910.05,39260310.24939661,positive,25950.0,12.1,0.0
2025-11-19,26052.65,-25073602.262501173,negative,26000.0,11.97,0.0
2025-11-20,26192.15,-45621690.82792741,negative,26100.0,12.14,0.0
2025-11-21,26068.15,84354201.41951947,positive,26050.0,13.63,-0.004848781027903398
2025-11-24,25959.5,331654555.95846033,positive,26000.0,13.24,0.0
2025-11-25,25884.8,32803436.62984559,positive,26000.0,12.24,0.0
2025-11-27,26215.55,33317071.7997623,positive,26200.0,11.79,0.0
2025-11-28,26202.95,51957678.531178,positive,26200.0,11.62,-0.002369458838996938
2025-12-01,26175.75,272171296.0412788,positive,26200.0,11.63,-0.002369458838996938
2025-12-02,26032.2,54410332.42811394,positive,26100.0,11.23,-0.002369458838996938
2025-12-03,25986.0,97360272.13943821,positive,26000.0,11.21,0.0
2025-12-04,26033.75,97115507.10085268,positive,26000.0,10.82,0.0
2025-12-05,26186.45,1361325.1123487279,neutral,26150.0,10.32,0.0
2025-12-08,25960.55,477291818.71208686,positive,26000.0,11.13,0.0
2025-12-09,25839.65,50446588.90824475,positive,25900.0,10.95,0.0
2025-12-10,25758.0,130292103.34574457,positive,25850.0,10.91,0.0
2025-12-11,25898.55,65897990.6212698,positive,25900.0,10.4,0.0
2025-12-12,26046.95,-4681957.080990031,neutral,26000.0,10.11,0.005614213923173361
2025-12-15,26027.3,-73406542.74367356,negative,26000.0,10.25,0.0
2025-12-16,25860.1,53129830.425646976,positive,26000.0,10.06,0.0
2025-12-17,25818.55,149744589.57350004,positive,25900.0,9.84,-0.0017227311572654118
2025-12-18,25815.55,123830103.10196257,positive,25900.0,9.71,0.0
2025-12-19,25966.4,-52832272.02400479,negative,26000.0,9.52,0.0
2025-12-22,26172.4,-220299858.8200202,negative,26100.0,9.68,0.00781779530470146
2025-12-23,26177.15,29643093.356760442,positive,26150.0,9.38,0.0
2025-12-24,26142.1,128637644.69303381,positive,26150.0,9.19,0.0
2025-12-26,26042.3,316471579.52727914,positive,26050.0,9.15,0.0
2025-12-29,25942.1,386212410.0522065,positive,26000.0,9.72,0.0
2025-12-30,25938.85,34547740.260740876,positive,26000.0,9.68,0.0
2025-12-31,26129.6,-47661366.444891125,negative,26100.0,9.48,0.0
2026-01-01,26146.55,25865720.37338108,positive,26150.0,9.19,0.0
2026-01-02,26328.55,-203829439.47092652,negative,26300.0,9.45,-0.0020413783080368156
2026-01-05,26250.3,89262786.57286844,positive,26250.0,10.02,-0.0020413783080368156
2026-01-06,26178.7,75477816.90030037,positive,26200.0,10.02,0.0
2026-01-07,26140.75,108354791.67266613,positive,26150.0,9.95,0.0
2026-01-08,25876.85,206456196.58259472,positive,26000.0,10.6,0.0
2026-01-09,25683.3,173470315.8077834,positive,25800.0,10.93,0.0
2026-01-12,25790.25,121115360.44069,positive,25800.0,11.37,-0.0002686570650967844
2026-01-13,25732.3,52828039.113530874,positive,25900.0,11.2,-0.0002686570650967844
2026-01-14,25665.6,82612964.62496163,positive,25800.0,11.32,-0.0002686570650967844
2026-01-16,25694.35,170534663.67029738,positive,25800.0,11.37,0.0
2026-01-19,25585.5,75454350.2903134,positive,25650.0,11.83,0.0
2026-01-20,25232.5,29740738.79625149,positive,25500.0,12.73,-0.008422739442262218
2026-01-21,25157.5,22816186.068361823,positive,25350.0,13.78,-0.008422739442262218
2026-01-22,25289.9,84878168.2718777,positive,25400.0,13.35,0.0
2026-01-23,25048.65,124599008.08774778,positive,25250.0,14.19,0.0
2026-01-27,25175.4,20135573.04012666,positive,25200.0,14.45,0.004940386008826823
2026-01-28,25342.75,40404048.41098407,positive,25300.0,13.53,0.0
2026-01-29,25418.9,29361923.110889487,positive,25350.0,13.37,0.0
2026-01-30,25320.65,53899594.0038576,positive,25300.0,13.63,0.0
2026-02-02,25088.4,49094595.8915238,positive,25050.0,13.87,0.0
2026-02-03,25727.55,47679407.603590064,positive,25700.0,12.9,0.0
2026-02-04,25776.0,33518303.42718485,positive,25750.0,12.25,0.0
2026-02-05,25642.8,144385968.18949708,positive,25650.0,12.17,0.0
2026-02-06,25693.7,65136862.591903016,positive,25650.0,11.94,0.0
